Address,City,State,ZIP,,[sequence],[summary],[addressee],[delivery_line_1],[delivery_line_2],[city_name],[state_abbreviation],[full_zipcode],[notes],[county_name],[rdi],[latitude],[longitude],[precision],[dpv_match_code],[dpv_footnotes],[footnotes],[county_fips],[record_type],[zip_type],[carrier_route],[congressional_district],[building_default_indicator],[elot_sequence],[elot_sort],[time_zone],[utc_offset],[dst],[dpv_cmra],[ews_match],[lacslink_indicator],[lacslink_code],[suitelink_match],[dpv_vacant],[active],[urbanization],[primary_number],[street_name],[street_predirection],[street_postdirection],[street_suffix],[secondary_number],[secondary_designator],[extra_secondary_number],[extra_secondary_designator],[pmb_designator],[pmb_number],[default_city_name],[zipcode],[plus4_code],[delivery_point],[delivery_point_check_digit],[last_line],[delivery_point_barcode]
1113 26TH AVE S,Seattle,WA,98144,,11,Match-Mailable,,1113 26th Ave S,,Seattle,WA,98144-3050,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59288,-122.29914,Zip9,Y,AABB,,53033,S,Standard,C052,9,,31,A,Pacific,-8,Y,N,,,,,N,Y,,1113,26th,,S,Ave,,,,,,,,98144,3050,13,2,Seattle WA 98144-3050,9.81443E+11
3007 21ST AVE S,Seattle,WA,98144,,12,Match-Mailable,,3007 21st Ave S,,Seattle,WA,98144-5905,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57629,-122.30546,Zip9,Y,AABB,,53033,S,Standard,C026,9,,88,A,Pacific,-8,Y,N,,,,,N,Y,,3007,21st,,S,Ave,,,,,,,,98144,5905,7,8,Seattle WA 98144-5905,9.81446E+11
3018 20TH AVE S,Seattle,WA,98144,,13,Match-Mailable,,3018 20th Ave S,,Seattle,WA,98144-5836,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57665,-122.30662,Zip9,Y,AABB,,53033,S,Standard,C025,9,,98,D,Pacific,-8,Y,N,,,,,N,Y,,3018,20th,,S,Ave,,,,,,,,98144,5836,18,3,Seattle WA 98144-5836,9.81446E+11
3039 20TH AVE S,Seattle,WA,98144,,14,Match-Mailable,,3039 20th Ave S,,Seattle,WA,98144-5835,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57658,-122.30679,Zip9,Y,AABB,,53033,S,Standard,C025,9,,97,A,Pacific,-8,Y,N,,,,,N,Y,,3039,20th,,S,Ave,,,,,,,,98144,5835,39,1,Seattle WA 98144-5835,9.81446E+11
3001 19TH AVE S,Seattle,WA,98144,,15,Match-Mailable,,3001 19th Ave S,,Seattle,WA,98144-5829,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57665,-122.30801,Zip9,Y,AABB,,53033,S,Standard,C025,9,,80,A,Pacific,-8,Y,N,,,,,N,Y,,3001,19th,,S,Ave,,,,,,,,98144,5829,1,9,Seattle WA 98144-5829,9.81446E+11
1811 S STEVENS ST,Seattle,WA,98144,,16,Match-Mailable,,1811 S Stevens St,,Seattle,WA,98144-5842,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57689,-122.30911,Zip9,Y,AABB,,53033,S,Standard,C025,9,,78,A,Pacific,-8,Y,N,,,,,N,Y,,1811,Stevens,S,,St,,,,,,,,98144,5842,11,3,Seattle WA 98144-5842,9.81446E+11
3034 18TH AVE S,Seattle,WA,98144,,17,Match-Mailable,,3034 18th Ave S,,Seattle,WA,98144-5812,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57669,-122.30896,Zip9,Y,AABB,,53033,S,Standard,C025,9,,72,A,Pacific,-8,Y,N,,,,,N,Y,,3034,18th,,S,Ave,,,,,,,,98144,5812,34,1,Seattle WA 98144-5812,9.81446E+11
3042 18TH AVE S,Seattle,WA,98144,,18,Match-Mailable,,3042 18th Ave S,,Seattle,WA,98144-5812,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57669,-122.30896,Zip9,Y,AABB,,53033,S,Standard,C025,9,,72,A,Pacific,-8,Y,N,,,,,N,Y,,3042,18th,,S,Ave,,,,,,,,98144,5812,42,2,Seattle WA 98144-5812,9.81446E+11
3217 19TH AVE S,Seattle,WA,98144,,19,Match-Mailable,,3217 19th Ave S,,Seattle,WA,98144-6417,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57488,-122.30746,Zip9,Y,AABB,,53033,S,Standard,C026,9,,47,A,Pacific,-8,Y,N,,,,,N,Y,,3217,19th,,S,Ave,,,,,,,,98144,6417,17,8,Seattle WA 98144-6417,9.81446E+11
3213 19TH AVE S,Seattle,WA,98144,,20,Match-Mailable,,3213 19th Ave S,,Seattle,WA,98144-6417,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57488,-122.30746,Zip9,Y,AABB,,53033,S,Standard,C026,9,,47,A,Pacific,-8,Y,N,,,,,N,Y,,3213,19th,,S,Ave,,,,,,,,98144,6417,13,2,Seattle WA 98144-6417,9.81446E+11
1102 26TH AVE S,Seattle,WA,98144,,21,Match-Mailable,,1102 26th Ave S,,Seattle,WA,98144-3051,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59287,-122.29896,Zip9,Y,AABB,,53033,S,Standard,C052,9,,30,D,Pacific,-8,Y,N,,,,,N,Y,,1102,26th,,S,Ave,,,,,,,,98144,3051,2,3,Seattle WA 98144-3051,9.81443E+11
910 31ST AVE S,Seattle,WA,98144,,22,Match-Mailable,,910 31st Ave S,,Seattle,WA,98144-3213,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59443,-122.29265,Zip9,Y,AABB,,53033,S,Standard,C032,9,,47,A,Pacific,-8,Y,N,,,,,N,Y,,910,31st,,S,Ave,,,,,,,,98144,3213,10,4,Seattle WA 98144-3213,9.81443E+11
1123 26TH AVE S,Seattle,WA,98144,,23,Match-Mailable,,1123 26th Ave S,,Seattle,WA,98144-3050,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59288,-122.29914,Zip9,Y,AABB,,53033,S,Standard,C052,9,,31,A,Pacific,-8,Y,N,,,,,N,Y,,1123,26th,,S,Ave,,,,,,,,98144,3050,23,1,Seattle WA 98144-3050,9.81443E+11
1312 MARTIN LUTHER KING JR WAY S,Seattle,WA,98144,,24,Match-Mailable,,1312 Martin Luther King Jr Way S,,Seattle,WA,98144-3700,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59173,-122.29747,Zip9,Y,AABB,,53033,S,Standard,C052,9,,129,A,Pacific,-8,Y,N,,,,,N,Y,,1312,Martin Luther King Jr,,S,Way,,,,,,,,98144,3700,12,1,Seattle WA 98144-3700,9.81444E+11
2720 S IRVING ST,Seattle,WA,98144,,25,Match-Mailable,,2720 S Irving St,,Seattle,WA,98144-3800,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59137,-122.29723,Zip9,Y,AABB,,53033,S,Standard,C052,9,,123,A,Pacific,-8,Y,N,,,,,N,Y,,2720,Irving,S,,St,,,,,,,,98144,3800,20,1,Seattle WA 98144-3800,9.81444E+11
2716 S IRVING ST,Seattle,WA,98144,,26,Match-Mailable,,2716 S Irving St,,Seattle,WA,98144-3800,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59137,-122.29723,Zip9,Y,AABB,,53033,S,Standard,C052,9,,123,A,Pacific,-8,Y,N,,,,,N,Y,,2716,Irving,S,,St,,,,,,,,98144,3800,16,6,Seattle WA 98144-3800,9.81444E+11
3207 S CHARLES ST,Seattle,WA,98144,,27,Match-Mailable,,3207 S Charles St,,Seattle,WA,98144-3215,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59446,-122.29138,Zip9,Y,AABB,,53033,S,Standard,C032,9,,138,A,Pacific,-8,Y,N,,,,,N,Y,,3207,Charles,S,,St,,,,,,,,98144,3215,7,6,Seattle WA 98144-3215,9.81443E+11
2434 S JUDKINS ST,Seattle,WA,98144,,28,Match-Mailable,,2434 S Judkins St,,Seattle,WA,98144-3734,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59217,-122.30108,Zip9,Y,AABB,,53033,S,Standard,C052,9,,32,A,Pacific,-8,Y,N,,,,,N,Y,,2434,Judkins,S,,St,,,,,,,,98144,3734,34,0,Seattle WA 98144-3734,9.81444E+11
1109 26TH AVE S,Seattle,WA,98144,,29,Match-Mailable,,1109 26th Ave S,,Seattle,WA,98144-3050,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59288,-122.29914,Zip9,Y,AABB,,53033,S,Standard,C052,9,,31,A,Pacific,-8,Y,N,,,,,N,Y,,1109,26th,,S,Ave,,,,,,,,98144,3050,9,7,Seattle WA 98144-3050,9.81443E+11
800 YAKIMA AVE S,Seattle,WA,98144,,30,Match-Mailable,,800 Yakima Ave S,,Seattle,WA,98144-3145,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59555,-122.29425,Zip9,Y,AABB,,53033,S,Standard,C032,9,,29,A,Pacific,-8,Y,N,,,,,N,Y,,800,Yakima,,S,Ave,,,,,,,,98144,3145,0,1,Seattle WA 98144-3145,9.81443E+11
1131 YAKIMA AVE S,Seattle,WA,98144,,31,Match-Mailable,,1131 Yakima Ave S,,Seattle,WA,98144-3147,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59315,-122.2945,Zip9,Y,AABB,,53033,S,Standard,C032,9,,20,D,Pacific,-8,Y,N,,,,,N,Y,,1131,Yakima,,S,Ave,,,,,,,,98144,3147,31,5,Seattle WA 98144-3147,9.81443E+11
2821 S CHARLES ST,Seattle,WA,98144,,32,Match-Mailable,,2821 S Charles St,,Seattle,WA,98144-3158,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59439,-122.29634,Zip9,Y,AABB,,53033,S,Standard,C052,9,,210,A,Pacific,-8,Y,N,,,,,N,Y,,2821,Charles,S,,St,,,,,,,,98144,3158,21,4,Seattle WA 98144-3158,9.81443E+11
831 30TH AVE S,Seattle,WA,98144,,33,Match-Mailable,,831 30th Ave S,,Seattle,WA,98144-3205,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5955,-122.29339,Zip9,Y,AABB,,53033,S,Standard,C032,9,,40,A,Pacific,-8,Y,N,,,,,N,Y,,831,30th,,S,Ave,,,,,,,,98144,3205,31,0,Seattle WA 98144-3205,9.81443E+11
833 30TH AVE S,Seattle,WA,98144,,34,Match-Mailable,,833 30th Ave S,,Seattle,WA,98144-3205,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5955,-122.29339,Zip9,Y,AABB,,53033,S,Standard,C032,9,,40,A,Pacific,-8,Y,N,,,,,N,Y,,833,30th,,S,Ave,,,,,,,,98144,3205,33,8,Seattle WA 98144-3205,9.81443E+11
2957 S DEARBORN ST,Seattle,WA,98144,,35,Match-Vacant,,2957 S Dearborn St,,Seattle,WA,98144-3109,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59568,-122.29418,Zip9,Y,AABB,,53033,S,Standard,C031,9,,173,A,Pacific,-8,Y,N,,,,,Y,Y,,2957,Dearborn,S,,St,,,,,,,,98144,3109,57,9,Seattle WA 98144-3109,9.81443E+11
921 YAKIMA PL S,Seattle,WA,98144,,36,Match-Mailable,,921 Yakima Pl S,,Seattle,WA,98144-3149,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59424,-122.29428,Zip9,Y,AABB,,53033,S,Standard,C032,9,,34,A,Pacific,-8,Y,N,,,,,N,Y,,921,Yakima,,S,Pl,,,,,,,,98144,3149,21,4,Seattle WA 98144-3149,9.81443E+11
1132 YAKIMA AVE S,Seattle,WA,98144,,37,Match-Mailable,,1132 Yakima Ave S,,Seattle,WA,98144-3126,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59318,-122.29432,Zip9,Y,AABB,,53033,S,Standard,C032,9,,19,A,Pacific,-8,Y,N,,,,,N,Y,,1132,Yakima,,S,Ave,,,,,,,,98144,3126,32,7,Seattle WA 98144-3126,9.81443E+11
2957 S NORMAN ST,Seattle,WA,98144,,38,Match-Mailable,,2957 S Norman St,,Seattle,WA,98144-3142,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59323,-122.29532,Zip9,Y,AABB,,53033,S,Standard,C032,9,,36,A,Pacific,-8,Y,N,,,,,N,Y,,2957,Norman,S,,St,,,,,,,,98144,3142,57,2,Seattle WA 98144-3142,9.81443E+11
1116 29TH AVE S,Seattle,WA,98144,,39,Match-Mailable,,1116 29th Ave S,,Seattle,WA,98144-3128,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59316,-122.29537,Zip9,Y,AABB,,53033,S,Standard,C052,9,,159,D,Pacific,-8,Y,N,,,,,N,Y,,1116,29th,,S,Ave,,,,,,,,98144,3128,16,3,Seattle WA 98144-3128,9.81443E+11
931 YAKIMA AVE S,Seattle,WA,98144,,40,Match-Mailable,,931 Yakima Ave S,,Seattle,WA,98144-3146,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59434,-122.29447,Zip9,Y,AABB,,53033,S,Standard,C032,9,,39,D,Pacific,-8,Y,N,,,,,N,Y,,931,Yakima,,S,Ave,,,,,,,,98144,3146,31,6,Seattle WA 98144-3146,9.81443E+11
2817 S NORMAN ST,Seattle,WA,98144,,41,Match-Mailable,,2817 S Norman St,,Seattle,WA,98144-3140,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59322,-122.29606,Zip9,Y,AABB,,53033,S,Standard,C052,9,,166,D,Pacific,-8,Y,N,,,,,N,Y,,2817,Norman,S,,St,,,,,,,,98144,3140,17,8,Seattle WA 98144-3140,9.81443E+11
1200 BRADNER PL S,Seattle,WA,98144,,42,Match-Mailable,,1200 Bradner Pl S,,Seattle,WA,98144-3155,"Standardized, Flagged for LACSLink, Matched street and city and state, Confirmed entire address",King,Residential,47.59253,-122.29598,Zip9,Y,AABB,LI#,53033,S,Standard,C052,9,,144,D,Pacific,-8,Y,N,,N,0,,N,Y,,1200,Bradner,,S,Pl,,,,,,,,98144,3155,0,0,Seattle WA 98144-3155,9.81443E+11
1517 B 23RD AVE S,Seattle,WA,98144,,43,Match-Mailable,,1517B 23rd Ave S,,Seattle,WA,98144-3612,"Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address",King,Residential,47.58952,-122.30238,Zip9,Y,AABB,N#,53033,S,Standard,C022,9,,16,A,Pacific,-8,Y,N,,,,,N,Y,,1517B,23rd,,S,Ave,,,,,,,,98144,3612,17,4,Seattle WA 98144-3612,9.81444E+11
1116 26TH AVE S,Seattle,WA,98144,,44,Match-Mailable,,1116 26th Ave S,,Seattle,WA,98144-3051,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59287,-122.29896,Zip9,Y,AABB,,53033,S,Standard,C052,9,,30,D,Pacific,-8,Y,N,,,,,N,Y,,1116,26th,,S,Ave,,,,,,,,98144,3051,16,8,Seattle WA 98144-3051,9.81443E+11
3028 20TH AVE S,Seattle,WA,98144,,45,Match-Mailable,,3028 20th Ave S,,Seattle,WA,98144-5836,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57665,-122.30662,Zip9,Y,AABB,,53033,S,Standard,C025,9,,98,D,Pacific,-8,Y,N,,,,,N,Y,,3028,20th,,S,Ave,,,,,,,,98144,5836,28,2,Seattle WA 98144-5836,9.81446E+11
3044 20TH AVE S,Seattle,WA,98144,,46,Match-Mailable,,3044 20th Ave S,,Seattle,WA,98144-5836,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57665,-122.30662,Zip9,Y,AABB,,53033,S,Standard,C025,9,,98,D,Pacific,-8,Y,N,,,,,N,Y,,3044,20th,,S,Ave,,,,,,,,98144,5836,44,4,Seattle WA 98144-5836,9.81446E+11
3062 20TH AVE S,Seattle,WA,98144,,47,Match-Mailable,,3062 20th Ave S,,Seattle,WA,98144-5836,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57665,-122.30662,Zip9,Y,AABB,,53033,S,Standard,C025,9,,98,D,Pacific,-8,Y,N,,,,,N,Y,,3062,20th,,S,Ave,,,,,,,,98144,5836,62,4,Seattle WA 98144-5836,9.81446E+11
3016 19TH AVE S,Seattle,WA,98144,,48,Match-Mailable,,3016 19th Ave S,,Seattle,WA,98144-5830,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5767,-122.30783,Zip9,Y,AABB,,53033,S,Standard,C025,9,,81,D,Pacific,-8,Y,N,,,,,N,Y,,3016,19th,,S,Ave,,,,,,,,98144,5830,16,1,Seattle WA 98144-5830,9.81446E+11
3032 19TH AVE S,Seattle,WA,98144,,49,Match-Mailable,,3032 19th Ave S,,Seattle,WA,98144-5830,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5767,-122.30783,Zip9,Y,AABB,,53033,S,Standard,C025,9,,81,D,Pacific,-8,Y,N,,,,,N,Y,,3032,19th,,S,Ave,,,,,,,,98144,5830,32,3,Seattle WA 98144-5830,9.81446E+11
3038 19TH AVE S,Seattle,WA,98144,,50,Match-Mailable,,3038 19th Ave S,,Seattle,WA,98144-5830,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5767,-122.30783,Zip9,Y,AABB,,53033,S,Standard,C025,9,,81,D,Pacific,-8,Y,N,,,,,N,Y,,3038,19th,,S,Ave,,,,,,,,98144,5830,38,7,Seattle WA 98144-5830,9.81446E+11
3050 19TH AVE S,Seattle,WA,98144,,51,Match-Mailable,,3050 19th Ave S,,Seattle,WA,98144-5830,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5767,-122.30783,Zip9,Y,AABB,,53033,S,Standard,C025,9,,81,D,Pacific,-8,Y,N,,,,,N,Y,,3050,19th,,S,Ave,,,,,,,,98144,5830,50,3,Seattle WA 98144-5830,9.81446E+11
3020 18TH AVE S,Seattle,WA,98144,,52,Match-Mailable,,3020 18th Ave S,,Seattle,WA,98144-5812,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57669,-122.30896,Zip9,Y,AABB,,53033,S,Standard,C025,9,,72,A,Pacific,-8,Y,N,,,,,N,Y,,3020,18th,,S,Ave,,,,,,,,98144,5812,20,6,Seattle WA 98144-5812,9.81446E+11
3010 17TH AVE S,Seattle,WA,98144,,53,Match-Mailable,,3010 17th Ave S,,Seattle,WA,98144-5805,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57621,-122.31066,Zip9,Y,AABB,,53033,S,Standard,C015,9,,90,A,Pacific,-8,Y,N,,,,,N,Y,,3010,17th,,S,Ave,,,,,,,,98144,5805,10,5,Seattle WA 98144-5805,9.81446E+11
3223 18TH AVE S,Seattle,WA,98144,,54,Match-Mailable,,3223 18th Ave S,,Seattle,WA,98144-6413,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5748,-122.30851,Zip9,Y,AABB,,53033,S,Standard,C026,9,,13,A,Pacific,-8,Y,N,,,,,N,Y,,3223,18th,,S,Ave,,,,,,,,98144,6413,23,5,Seattle WA 98144-6413,9.81446E+11
1802 S HORTON ST,Seattle,WA,98144,,55,Match-Mailable,,1802 S Horton St,,Seattle,WA,98144-6429,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57413,-122.30816,Zip9,Y,AABB,,53033,S,Standard,C016,9,,66,A,Pacific,-8,Y,N,,,,,N,Y,,1802,Horton,S,,St,,,,,,,,98144,6429,2,1,Seattle WA 98144-6429,9.81446E+11
1806 S HORTON ST,Seattle,WA,98144,,56,Match-Mailable,,1806 S Horton St,,Seattle,WA,98144-6436,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57413,-122.30812,Zip9,Y,AABB,,53033,S,Standard,C026,9,,48,A,Pacific,-8,Y,N,,,,,N,Y,,1806,Horton,S,,St,,,,,,,,98144,6436,6,9,Seattle WA 98144-6436,9.81446E+11
3233 19TH AVE S,Seattle,WA,98144,,57,Match-Mailable,,3233 19th Ave S,,Seattle,WA,98144-6417,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57488,-122.30746,Zip9,Y,AABB,,53033,S,Standard,C026,9,,49,A,Pacific,-8,Y,N,,,,,N,Y,,3233,19th,,S,Ave,,,,,,,,98144,6417,33,0,Seattle WA 98144-6417,9.81446E+11
3029 21ST AVE S,Seattle,WA,98144,,58,Match-Mailable,,3029 21st Ave S,,Seattle,WA,98144-5905,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57629,-122.30546,Zip9,Y,AABB,,53033,S,Standard,C026,9,,88,A,Pacific,-8,Y,N,,,,,N,Y,,3029,21st,,S,Ave,,,,,,,,98144,5905,29,4,Seattle WA 98144-5905,9.81446E+11
3029 20TH AVE S,Seattle,WA,98144,,59,Match-Mailable,,3029 20th Ave S,,Seattle,WA,98144-5835,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57658,-122.30679,Zip9,Y,AABB,,53033,S,Standard,C025,9,,97,A,Pacific,-8,Y,N,,,,,N,Y,,3029,20th,,S,Ave,,,,,,,,98144,5835,29,2,Seattle WA 98144-5835,9.81446E+11
3014 18TH AVE S,Seattle,WA,98144,,60,Match-Mailable,,3014 18th Ave S,,Seattle,WA,98144-5812,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57669,-122.30896,Zip9,Y,AABB,,53033,S,Standard,C025,9,,72,A,Pacific,-8,Y,N,,,,,N,Y,,3014,18th,,S,Ave,,,,,,,,98144,5812,14,3,Seattle WA 98144-5812,9.81446E+11
1800 S HANFORD ST,Seattle,WA,98144,,61,Match-Mailable,,1800 S Hanford St,,Seattle,WA,98144-5858,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57517,-122.30843,Zip9,Y,AABB,,53033,S,Standard,C026,9,,18,D,Pacific,-8,Y,N,,,,,N,Y,,1800,Hanford,S,,St,,,,,,,,98144,5858,0,8,Seattle WA 98144-5858,9.81446E+11
3049 19TH AVE S,Seattle,WA,98144,,62,Match-Mailable,,3049 19th Ave S,,Seattle,WA,98144-5829,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57665,-122.30801,Zip9,Y,AABB,,53033,S,Standard,C025,9,,80,A,Pacific,-8,Y,N,,,,,N,Y,,3049,19th,,S,Ave,,,,,,,,98144,5829,49,7,Seattle WA 98144-5829,9.81446E+11
3034 BEACON AVE S,Seattle,WA,98144,,63,Match-Mailable,,3034 Beacon Ave S,,Seattle,WA,98144-5817,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57628,-122.3095,Zip9,Y,AABB,,53033,S,Standard,C025,9,,61,A,Pacific,-8,Y,N,,,,,N,Y,,3034,Beacon,,S,Ave,,,,,,,,98144,5817,34,6,Seattle WA 98144-5817,9.81446E+11
