Major,Minor,ComplexDescr,NbrBldgs,NbrStories,NbrUnits,AvgUnitSize,ProjectLocation,ProjectAppeal,PcntWithView,ConstrClass,BldgQuality,Condition,YrBuilt,EffYr,PcntComplete,Elevators,SectySystem,Fireplace,Laundry,Address
762570,465,SUNSET MANOR,1,3,19,721,0,0,21,4,4,3,1969,1984,100,N,Y,N,1,5212 CALIFORNIA AVE SW 98136
564660,25,APARTMENT,2,2,5,638,3,3,0,4,4,3,1985,1991,100,N,N,N,2,718 15TH AVE 98122
856291,0,10 Townhouse Condo Units,2,2,10,1444,4,3,0,4,4,3,1980,1980,100,N,Y,Y,2,9810 NE 137TH ST 98034
152250,0,APT/CONDO,1,5,123,607,3,3,0,4,5,3,1989,1996,100,Y,Y, ,2,1201 BOYLSTON AVE 98101
260400,0, ,0,3,2,560,0,0,0,2,5,0,1960,2000,0, , , ,0,4501 15TH AVE NE 98105
182105,9247,THE RANCH APTS,6,1,45,745,0,0,0,4,4,3,1979,1988,100,N,N,N,1,621 I ST NE 98002
225450,1320,5-UNIT APARTMENT,1,2,5,845,3,2,0,4,4,3,1952,1979,100,N,N,N,2,1400 E SPRING ST 98122
180690,405,BUCKLEY APTS,1,3,31,690,3,4,0,3,5,4,1928,1993,100,Y,Y,N,1,201 17TH AVE E 98112
92104,9219,50 UNIT APARTMENT,12,2,50,732,0,0,0,4,4,2,1962,1975,100,N,N,N,1,1650 S 308TH ST 98003
58770,0,5 UNIT CONDO,2,2,5,1267,3,3,0,4,4,3,1994,1994,100,N,N,N,2,800 S 219TH ST 98198
132201,240,PLAN F,1,2,4,976,3,4,0,4,5,4,1977,1995,100,N,N,Y,2,34238 1ST PL S 98003
352890,860,HALLADAY COURT APTS,2,3,18,693,3,3,22,4,4,3,1955,1979,100,N,Y,N,1,2475 DEXTER AVE N 98109
282204,9024,CEDARWOOD APTS,16,3,249,784,3,3,0,4,5,4,1978,1996,100,N,N,Y,1,2708 S 256TH ST 98032
362980,10, ,2,3,10,1327,4,4,0,4,5,3,1999,1999,100,N,N,Y,2,1851 15TH AVE NE 98029
685270,150,APARTMENT,1,2,6,447,3,2,0,4,4,3,1901,1979,100,N,N,N,1,410 11TH AVE E 98102
723460,345, ,1,1,25,554,3,4,0,4,4,3,1907,1974,100, , , ,0,1726 15TH AVE 98122
30045,0,14 Unit Condo,4,2,14,900,3,3,0,4,4,3,1990,1990,100,N,N,N,2,607 29TH ST SE 98002
913710,1760,EILEEN APTS,1,2,7,700,1,3,0,4,4,3,1958,1980,100,N,N,Y,1,7011 6TH AVE NE 98115
270810,20,Rooming House,1,3,12,416,3,3,0,4,4,3,1910,1980,100,N,Y,N,1,315 N 75TH ST 98103
882290,425,8 UNIT APT,1,2,9,723,3,3,0,4,4,3,1963,1982,100,N,N,N,1,12341 33RD AVE NE 98125
174487,0,Apt Conversion 2009,1,4,39,764,4,3,0,4,5,5,1959,2004,100,Y,Y,Y,2,511 100TH AVE NE 98004
701120,695,OLYMPIC VIEW APARTMENTS,1,3,22,531,3,3,30,3,4,3,1952,1979,100,N,N,N,1,2101 7TH AVE W 98119
439730,0,Flats,1,3,5,653,3,4,0,4,5,4,1906,2000,100,N,Y,N,2,1812 16TH AVE 98122
85000,240,5 UNIT APT,1,2,5,950,2,3,0,4,4,3,1961,1982,100,N,N,Y,1,4515 DAYTON AVE N 98103
956780,260,MULTIPLE RESIDENCE,1,2,7,965,0,0,0,4,4,4,1990,1998,50,N,N,N,2,18810 101ST PL NE 98011
11410,1534,Fourplex,1,2,4,1220,0,0,0,4,4,3,2004,2004,100,N,N,N,2,8316 NE 176TH CT
545271,0,5 FLAT UNITS,1,5,5,1740,2,4,0,4,6,3,1994,1994,100,Y,Y,Y,2,609 W MERCER PL 98119
278460,55,FOURPLEX,1,2,4,687,3,2,0,4,4,3,1953,1979,100,N,N,N,1,1815 E THOMAS ST 98112
219295,0,TOWNHOUSES,1,2,2,1029,3,3,0,4,4,3,1980,1980,100,N,N,Y,2,2612 E THOMAS ST 98112
162404,9219,APARTMENTS,1,2,11,700,3,3,0,4,4,2,1962,1975,100,N,N,N,1,4018 MARTIN LUTHER KING JR WAY S 98108
333990,1340,FOUR-PLEX,1,2,4,1197,0,0,0,4,4,4,1978,1993,100,N,N,N,2,922 14TH ST NE 98002
277160,2055,GRIFFIN APARTMENTS,1,3,8,730,2,3,75,4,4,3,1959,1981,100,N,N,N,1,1937 GILMAN DR W 98119
73850,90,DUPLEX,1,1,2,728,3,3,0,4,4,3,1979,1988,100, ,N,N,2,10936 SE 223RD LN 98031
444980,2,Live/Work Townhouse Unit,1,3,1,1215,3,3,0,4,6,4,2008,2008,100,N,N,N,2,8348 NW 85TH ST 98117
302605,9227,JUANITA CREEK APTS,1,2,4,1244,4,4,0,4,5,4,1979,1996,100,N,N,Y,2,12825 100TH AVE NE 98034
333990,761,PINEHURST MANOR BLDG C,1,2,4,638,0,0,0,4,4,3,1968,1985,100,N,N,N,2,733 10TH ST NE 98002
882390,1910,TAMARAC APTS,1,3,21,1015,0,0,0,4,5,4,1977,1995,100,N,Y,N,1,4733 17TH AVE NE 98105
408330,2459,4 PLEX,1,3,4,827,3,3,0,4,4,3,1909,1974,100,N,N,N,1,3907 WALLINGFORD AVE N 98103
676400,0,HOUSEBOAT FLOATING MOORAGE,1,1,11,0,5,4,0,0,0,0,1986,1986,90,N,N, ,2,2351 FAIRVIEW AVE E 98102
415235,0,10 UNIT CONDO,4,3,10,1199,4,4,100,4,4,3,1987,1987,100,N,N, ,2,2364 FAIRVIEW AVE E 98102
216390,65,APARTMENT,1,3,9,827,3,3,15,4,4,3,1963,1982,100,Y,N,N,1,744 BELMONT PL E 98102
257019,0,Condo Conversion,1,3,7,852,3,3,0,4,3,4,1905,1965,100,N,Y,N,1,532 19TH AVE 98122
639167,0, ,0,0,0,1,0,0,0,0,0,0,0,0,0, , , ,0,7495 159TH PL NE 98052
276770,3630,,1,3,11,455,3,3,0,3,4,3,1909,1979,100,N,Y,N,1,1903 NW MARKET ST 98107
391020,25,FOUR-PLEX,1,1,4,747,0,0,0,4,4,3,1978,1988,100,N,N,N,1,802 22ND ST NE 98002
73900,66,MISSION RIDGE APTS,27,3,260,879,2,3,0,4,5,4,1989,1996,100,N,N,Y,2,12000 SE PETROVITSKY RD 98058
914710,50,FOURPLEX,1,2,4,928,0,0,0,4,4,3,1965,1983,100,N,N,N,1,703 WOODFORD AVE N 98031
73780,0,131 UNIT CONDO,5,3,131,909,3,3,0,4,4,4,1968,1968,100,N,N,N,1,1425 S PUGET DR 98055
242603,9284,,1,1,1,1395,3,3,0,4,4,3,1991,1991,100,N,N, ,2,12541 1ST AVE NW 98177
11410,430,SUNRIDGE APTS,1,3,30,649,3,3,0,4,4,3,1988,1992,100,N,N,N,1,18241 73RD AVE NE 98028
276770,2500, ,1,2,3,384,3,3,0,3,4,3,1901,1970,100,N,Y,N,0,5345 BALLARD AVE NW 98107
324050,0,"Condos, 9 Units, All Flats",1,3,9,635,3,3,0,4,4,4,1987,2005,100,N,Y,N,1,9010 HENDERSON PL SW 98106
135511,0,Residential Condo,1,3,5,2124,4,4,0,2,7,3,1998,2005,100,Y,Y,Y,2,5726 LAKE WASHINGTON BLVD NE
952810,1400,8 UNIT APT,1,1,8,774,3,3,0,4,4,4,1948,1986,100,N,N,N,1,436 NE 73RD ST 98115
30700,0,10 - UNIT CONDO,1,3,11,713,2,3,40,4,4,3,1977,1987,100,N,Y,Y,1,4710 AURORA AVE N 98103
643403,0,15 Res Units/AFF Housing + 1 Land Unit,5,2,16,1279,3,3,0,4,3,3,2005,2006,100,N,N,N,2,7710 CHICAGO CT S
200900,3530,EL MIRADOR APTS,1,3,42,969,4,4,0,4,5,4,1977,1995,100,Y,N,N,1,22022 6TH AVE S 98198
788360,8717,,2,2,100,541,3,3,0,4,5,3,1994,1994,100,Y,Y, ,1,1040 S HENDERSON ST 98108
6970,0,Flats,6,3,36,1054,2,3,0,4,4,3,2007,2007,100,N,N,Y,2,11312 124TH AVE NE 98034
783080,542,KENTBROOK APTS,3,3,66,694,3,3,0,4,4,4,1978,1993,100,N,N,Y,2,9807 SE 248TH ST 98030
630000,530,21 UNIT APT BLDG,1,3,21,640,3,4,0,4,4,4,1984,1995,100,N,Y,N,1,10541 STONE AVE N 98133
232403,9148,4-PLEX,1,1,4,786,4,3,0,4,4,3,1961,1982,100,N,N,N,1,5007 38TH AVE SW 98126
262505,9247,,16,2,240,692,4,3,0,4,4,4,1978,1997,100,N,N,N,2,1910 154TH AVE NE 98007
212105,9035,2-6 UNIT; 1-5 UNIT; 1-4 UNIT,4,2,21,1108,0,0,0,4,4,3,1979,1988,100,N,N,N,1,3611 AUBURN WAY S 98092
13550,0,24 FLAT UNITS,1,4,24,1476,4,4,0,4,5,4,1989,1995,100,Y,Y,Y,2,1564 ALKI AVE SW 98116
220880,0,"17 Unit, one commercial unit.",1,4,18,1091,3,3,55,1,5,3,2007,2007,100,Y,Y,Y,2,2245 EASTLAKE AVE E 98102
182406,9145,LAKEMONT ORCHARDS,18,3,201,916,4,4,0,4,6,4,1992,2002,100,N,N,Y,2,18305 SE NEWPORT WAY 98027
112505,9040,Mixed use (Apt/retail),1,6,125,847,3,3,0,4,4,3,2010,2010,100,Y,Y, ,2,16015 CLEVELAND ST
277060,1885,WIGINA APTS,1,2,6,823,2,3,0,4,4,3,1964,1983,100,N,N,N,1,3207 21ST AVE W 98199
212105,9114, ,1,2,8,1051,0,0,0,4,4,3,1967,1984,0, , , ,1,3731 AUBURN WAY S 98092
322505,9164, ,1,8,210,477,4,4,21,4,5,3,2004,2004,100,Y,Y, ,2,123 112TH AVE NE 98004
172205,9206,JEANNE APTS,1,2,12,722,3,3,0,4,5,4,1968,1994,100,N,N,N,1,10225 SE 239TH ST 98031
889230,0, ,1,6,100,851,3,3,0,2,4,3,2008,2008,100,Y,Y, ,2,401 9TH AVE N 98109
409230,1595,APT BLDG,1,3,18,628,0,0,0,4,5,3,1967,1988,100,N,N,N,1,4040 8TH AVE NE 98105
812335,0,11 Unit Condo,11,1,11,1227,3,3,55,4,5,3,2005,2005,100,N,N,Y,2,1550 MOUNTAIN VIEW DR 98022
172104,9061,Celebration Park Phase 2,5,2,87,630,3,3,0,4,4,4,1974,1994,100,N,N,N,1,32205 11TH PL S 98003
289150,0,8 UNIT TOWNHOUSE CONDO,1,2,8,834,3,3,0,4,4,3,1979,1988,100,N,N, ,2,335 S 262ND ST 98030
614560,985, ,1,3,2,1326,3,3,0,4,4,3,1987,1987,0,N,N,N,2,10310 GREENWOOD AVE N 98133
953060,0,12 UNIT CONDO,1,3,12,1024,3,3,0,4,4,4,1977,1977,100,Y,Y,Y,1,4911 FREMONT AVE N 98103
140160,0,4 FLATS+28 GARAGES,4,2,4,992,3,3,0,4,4,3,2005,2005,0,N,N,N,2,2550 NE JULEP ST 98029
130330,45,MULTI-RES,1,2,11,612,3,3,18,4,4,3,1964,1983,100,N,N,N,1,1808 E THOMAS ST 98112
918670,0,57 UNIT CONDO,1,23,57,2136,5,4,0,2,7,4,1969,1985,100,Y,Y,Y,2,1620 43RD AVE E 98112
569350,825,24 UNIT APT,1,4,24,879,3,3,0,4,4,3,1991,1993,100,Y,Y,N,2,4323 EVANSTON AVE N 98103
82305,9058,CYPRESS PINES APTS,3,2,20,727,3,3,0,4,4,3,1963,1982,100,N,N,N,1,1033 SUNSET BLVD NE 98056
882290,1130,APARTMENT BLDG 7 UNITS,1,2,7,802,3,3,0,4,5,3,1962,1986,100,N,N,Y,1,3115 NE 123RD ST 98125
609600,215,FIFTH AVE APTS,1,7,29,969,3,3,62,4,4,3,1963,1982,100,N,Y,N,1,1401 5TH AVE N 98109
330550,0, ,1,3,2,31613,4,4,0,2,6,5,2005,2005,0, , , ,0,16069 SYLVESTER RD SW 98166
246740,405,FOURPLEXES,3,2,12,590,3,2,0,4,3,3,1904,1970,100,N,N,N,2,224 MINOR AVE N 98109
643150,92,11 UNIT APT,1,3,11,786,0,0,0,4,4,3,1979,1988,100,N,Y,N,1,8746 PHINNEY AVE N 98103
193130,1215,CINDY MANOR,1,3,6,681,3,3,0,4,4,3,1971,1985,100,N,N,N,1,4121 LINDEN AVE N 98103
288790,0,Mixed Use Condo,1,4,18,1056,4,3,0,4,6,4,1978,1978,100,N,Y,Y,2,7850 E GREEN LAKE DR N 98103
418820,0,15 UNIT CONDO,1,4,15,956,4,3,0,4,6,4,1930,1986,100,N,Y,N,1,1902 BIGELOW AVE N 98109
339504,610, ,4,2,12,1331,3,3,0,4,4,3,2002,2002,100,N,N,N,2,
894610,0,7 UNIT CONDO,1,2,7,866,3,3,0,4,4,4,1959,1989,100,N,N,Y,2,2506 32ND AVE W 98199
97000,160,APT 6 UNIT,1,2,6,990,3,4,50,4,5,4,1975,1995,100,N,N,N,2,10024 NE 186TH ST 98011
292605,9263,JUANITA RIDGE,1,2,4,1067,4,3,0,4,5,3,1990,1996,100,N,N,Y,2,11101 NE 128TH ST 98034
193030,1270,16 UNIT APARTMENT,2,4,16,904,2,3,0,4,4,3,1993,1994,80,N,Y,N,2,312 N 39TH ST 98103
918771,0,32 UNIT WATERFRONT CONDO,1,3,32,1041,5,4,0,4,4,4,1967,1977,100,N,Y,N,1,6333 LAKE WASHINGTON BLVD NE 98033
952810,3580,40 UNITS 2 BLDG'GS,2,4,40,750,3,3,0,4,4,3,1991,1993,100,Y,Y,Y,2,6909 WEEDIN PL NE 98115
272420,1530,4-PLEX,1,2,4,744,3,3,0,4,5,4,1978,1996,100,N,N,Y,1,21606 29TH AVE S 98198
335340,2855,4-PLEX,1,2,4,874,3,3,0,4,4,3,1980,1988,100,N,N,Y,2,218 SEATTLE BLVD S 98047
73850,50,BENSON EAST,1,1,4,520,3,3,0,4,4,3,1979,1988,100,N,N,N,0,10944 SE 223RD ST 98031
292504,9047,MALABAR APT,1,4,37,534,3,3,60,4,4,4,1961,1989,100,N,N,N,1,170 MELROSE AVE E 98102
918470,170,5 UNIT,1,1,5,792,3,3,0,4,5,4,1926,1990,100,N,N,N,1,3400 E MARION ST 98122
863430,0,4 UNIT CONDO,1,2,4,1448,4,3,0,4,6,3,1994,1994,100,N,Y,Y,2,319 4TH AVE 98033
122000,1255,EIGHT UNIT APT,1,2,8,706,3,3,0,4,5,4,1978,1993,100,N,N,N,1,401 SW 155TH ST 98166
402290,1112,4 PLEX,1,2,4,1108,3,3,0,4,4,3,1979,1988,100,N,N,Y,2,2522 NE 195TH ST 98155
202504,9138,4-PLEX,1,1,4,579,3,2,0,4,4,3,1943,1982,100,N,N,Y,1,2371 MINOR AVE E 98102
556060,10,Four Plex,1,2,4,900,3,4,0,4,4,3,1985,1996,100,N,N,Y,2,31918 3RD PL SW 98023
264660,0,CONDOMINIUM,1,4,24,956,3,3,0,4,4,4,1979,1979,100,Y,Y,Y,1,3633 FREMONT AVE N 98103
42304,9078,COACH HOUSE APTS,1,4,37,800,3,3,22,4,5,3,1967,1988,100,N,Y,Y,1,10245 DES MOINES MEMORIAL DR S 98168
362605,9003,,17,3,335,1100,3,4,0,4,5,3,1991,1991,100,Y, , ,1,10901 176TH CIR NE 98052
115700,0,TOWNHOUSES,7,3,7,2121,3,4,0,4,6,3,2000,2000,100,N,N,Y,2,624 BELLEVUE WAY SE 98004
277160,370,4 - PLEX,1,3,4,1147,3,3,50,4,5,2,1964,1982,100,N,N,Y,1,2214 W HALLADAY ST 98199
5300,5, ,1,11,201,776,3,3,75,4,6,3,2003,2003,100,Y,Y,N,2,1215 DEXTER AVE N 98109
184285,0,FLATS & TH,1,2,9,1163,3,4,0,4,7,4,1928,1997,100,N,Y,N,1,1305 E REPUBLICAN ST 98102
60500,0, ,1,1,1,1392,0,0,0,4,5,4,1930,1975,100,N,N,N,1,2810 16TH AVE S 98144
941290,8,BILMAR MANOR,1,2,8,754,3,3,0,4,4,3,1959,1981,100,N,N,N,1,7318 RAINIER AVE S 98118
360300,190,MV II APTS,1,2,4,907,3,3,0,4,4,3,1984,1990,100,N,N,Y,2,24327 27TH AVE S 98198
390020,0,T/H's & Flats,12,2,64,1078,3,3,0,4,4,4,1985,2006,100,N,N,Y,2,13145 102ND LN NE 98034
857905,0, ,2,2,2,4200,4,5,0,4,6,4,2001,2001,100,Y, , ,0,1010 MARKET ST 98033
100,101,APTS,4,2,16,1248,0,0,0,4,5,3,1979,1991,100,N,N,Y,2,2025 M ST NE 98002
551190,0,FLATS,1,4,23,1080,3,2,0,4,4,3,2002,2002,100,Y,Y,Y,2,1515 E YESLER WAY 98144
869520,65, ,1,1,1,2186,0,0,0,4,4,3,1978,1990,100,N,N,N,2,2219 D ST SE 98002
629950,0,3 unit townhomes,1,2,3,943,2,2,0,4,4,3,1965,1989,100,N,N,Y,2,10559 MIDVALE AVE N 98133
253925,0,3 UNIT CONDO,1,3,3,1837,4,3,0,4,4,4,1964,1964,100,N,N,Y,2,5752 ASHWORTH AVE N 98103
780400,0,FLATS & TOWNHOUSES,10,2,15,2067,3,4,0,4,7,4,1989,2000,100,Y,Y,Y,2,600 BELLEVUE WAY SE 98004
894590,0,4 unit condo,1,2,4,1098,3,3,0,4,4,3,1997,1997,100,N,N,Y,2,17201 127TH PL NE 98072
569450,415,FOURPLEX,1,2,4,683,3,3,0,4,4,3,1959,1981,100,N,N,N,1,963 N MOTOR PL 98103
952110,356,MULTIPLE RESIDENCE,1,2,6,582,3,3,0,4,4,4,1952,1984,100,N,N,N,1,607 N 50TH ST 98103
197820,505,Marlborough House,1,9,83,672,0,0,24,2,7,4,1927,1990,100,Y,Y, ,1,1220 BOREN AVE
358690,0,40 UNIT CONDO,3,2,40,1626,3,3,0,4,4,3,1972,1980,100,N,Y, ,2,1035 156TH AVE NE 98007
918863,0,RAINIER BLDG FLATS,1,3,35,1230,4,4,0,4,6,3,1994,1994,100,Y,Y,Y,2,4109 224TH LN SE 98029
608710,535,ELLINWOOD APTS,1,3,13,690,0,0,15,3,4,4,1936,1983,100,N,N,N,1,2318 CALIFORNIA AVE SW 98116
894637,0,Townhouse Units,2,2,2,3795,4,4,0,4,7,3,2007,2007,100,N,N,Y,2,2704 212TH AVE SE 98075
952110,835,MOOREA APTS,1,2,14,570,3,3,0,4,4,3,1950,1979,100,N,Y,N,1,4618 FREMONT AVE N 98103
72304,9588,Arbor Heights,1,4,37,996,3,3,0,4,5,4,1966,1993,100,N,N,N,1,135 SW 116TH ST 98146
685070,445,APT,1,2,15,971,3,4,0,3,6,4,1929,1997,100,N,N,N,1,417 HARVARD AVE E 98102
33940,0,FLATS,5,2,20,937,3,3,0,4,4,4,1983,1995,100,N,N,Y,2,17420 NE 88TH PL 98052
249120,1035,4-PLEX,1,1,4,770,3,3,25,4,4,3,1951,1978,100,N,N,N,1,9225 35TH AVE SW 98126
182242,0, ,0,2,4,1461,0,0,0,4,6,3,1988,1988,0, , , ,0,1510 140TH AVE NE 98005
535020,130,6 UNIT,1,3,6,877,3,4,33,4,4,5,1902,1997,100,N,Y,Y,1,1422 37TH AVE 98122
367940,110,ELMA APTS,1,3,9,582,3,3,0,4,5,3,1961,1986,100,N,N,N,1,1458 S COLUMBIAN WAY 98144
982670,785,MULTI RESIDENCE 26 UNITS,1,3,26,585,3,3,0,4,4,4,1907,1986,100,N,Y,N,1,117 18TH AVE 98122
37200,5,CHINOOK APARTMENTS,1,2,7,771,3,3,100,4,6,3,1957,1984,100,N,N,N,1,8711 S 114TH ST 98178
291920,25,ROOMING HOUSE,1,5,39,221,3,3,0,4,4,3,2014,2014,0,Y,Y,N,0,143 NW 85TH ST 98117
728390,644,9 UNIT APT BLDG,1,3,9,743,3,3,0,4,4,3,1997,1997,100,N,N,N,2,1020 N 192ND ST 98133
52405,9242,STANWOOD 4 PLEX,1,2,4,840,3,3,0,4,4,3,1959,1981,100,N,N,N,0,1110 BELLEVUE WAY SE 98004
357830,0,36 UNIT CONDO,2,3,36,822,3,3,0,4,3,4,1977,1977,100,N,N,Y,2,14010 JUANITA DR NE 98034
122000,325,FOUR UNIT APARTMENT,1,2,4,871,3,3,0,4,4,4,1968,1990,100,N,N,Y,1,15444 10TH AVE SW 98166
197570,420,SECOND & PINE BLDG,1,7,42,528,3,4,0,2,5,4,1910,1985,100,Y,Y,N,1,211 PINE ST 98101
717480,724,14 UNIT APT,1,3,14,755,0,0,0,4,4,3,1964,1983,100,N,N,N,1,5112 RAVENNA AVE NE 98105
4000,106,RIVERTON VIEW APTS,1,2,24,709,3,3,0,4,4,4,1963,1987,100,N,N,N,1,3455 S 144TH ST 98168
685270,425,FOURPLEX,1,2,4,750,3,2,0,4,3,3,1904,1970,100,N,N,N,1,601 FEDERAL AVE E 98102
955120,411,com'l office + 2 studio apts,1,1,2,427,4,3,0,4,4,3,1926,1979,100,N,N,N,2,6233 WOODLAWN AVE N 98103
374460,565,ROBSTONE APARTMENTS,1,3,8,928,3,3,0,4,4,3,1966,1984,100,N,N,N,1,1205 SW 124TH ST 98146
173180,780,THE HILCAN APT,1,3,24,745,3,3,10,4,4,3,1928,1977,100,N,N,N,1,1306 1ST AVE W 98119
754980,2390,APARTMENTS,2,3,15,750,3,3,35,4,4,3,1992,1994,100,N,N,N,2,5818 15TH AVE S 98108
784130,537,FOUR PLEX,1,2,4,728,0,0,0,4,4,3,1979,1988,100,N,N,N,1,610 MOSES LN S 98055
82505,9120,TIMBER RIDGE,1,3,6,932,3,3,67,4,5,3,1978,1991,100,N,N,Y,2,10842 NE 68TH ST 98033
275650,50,4 PLEX; BLDG E,1,2,4,920,3,3,0,4,4,3,1986,1991,100,N,N,Y,2,20831 31ST LN S 98198
72000,20, ,1,21,129,1007,4,3,0,2,6,3,2007,2007,100,Y,Y,N,2,1020 108TH AVE NE
95500,20,6 PLEX,1,3,7,805,2,3,33,4,4,3,1991,1993,100,N,Y,N,1,220 23RD AVE E 98112
607326,0,TH & Flats,10,2,40,1143,3,2,0,4,4,4,1970,1970,100,N,N,N,2,12619 SE 42ND ST 98006
861460,0,12 unit condo,3,2,12,2000,3,4,0,4,5,3,1999,2000,100,N,N,Y,2,381 12TH AVE NW 98027
414010,180,4 PLEX,1,2,4,1052,3,3,0,4,5,4,1973,1995,100,N,N,Y,2,6131 NE 193RD PL 98028
246740,440,APARTMENTS,1,2,14,489,3,3,0,4,3,3,1914,1971,100,N,Y,N,1,215 PONTIUS AVE N 98109
302105,9297,4-PLEX,1,2,4,1030,0,0,0,4,4,3,1994,1995,100,N,N,N,2,3870 D PL SE 98002
162405,9198, ,2,2,8,1098,0,0,0,4,5,3,2004,2004,100,N,N,N,2,12828 SE 40TH LN 98006
671670,70,16 UNIT APT,1,4,17,729,3,3,24,4,5,4,1981,1997,100,Y,Y,Y,1,7000 ROOSEVELT WAY NE 98115
229664,0, ,1,4,32,761,3,3,0,4,4,4,1970,1990,100,Y,Y, ,1,3661 24TH PL W 98199
637100,30,12 UNIT APT,1,3,12,662,0,0,0,4,4,3,1968,1985,100,N,N,N,1,2731 60TH AVE SW 98116
276760,4450,5 UNIT APARTMENT,1,2,5,861,3,3,0,4,4,3,1974,1986,100,N,N,N,1,1750 NW 58TH ST 98107
192100,0,10 Unit Condo,5,2,10,1000,3,3,0,4,4,3,2004,2004,100,N,N, ,0,1341 KIBLER AVE 98022
766370,350,THE KENNSINGTON APTS,1,3,10,1090,3,3,0,4,4,3,1973,1986,100,N,Y,N,1,14333 32ND AVE NE 98125
